"BLANK is a web-based, unified console that provides an alternative to command-line tools.",Azure portal,"AZ900,Definition"
"A scripting language that has many uses - among them, interacting with Azure data resources",Azure PowerShell,"DP900,AZ900,Definition"
A command line language that can be used in a Bash shell to interact with Azure data resources,Azure command-line interface (CLI),"DP900,AZ900,Definition"
"A security device, in the form of software or hardware, that filters traffic to resources, such as databases.",Firewall,"DP900,Definition,AZ900"
"BLANK provides the following benefits: Idempotent, Source Control, Reuse, Declarative and No Human Errors.",Azure Resource Manager (ARM) templates,AZ900
BLANK provides the best way to Provision a set of Azure services to multiple environments and save the configuration for future deployments.,Azure Resource Manager (ARM) templates,"DP900,AZ900"
"'Infrastructure as code', written in JSON to define and configure Azure resources",Azure Resource Manager (ARM) templates,"DP900,Definition,AZ900"
"Maintain acceptable continuous performance despite temporary failure in services, hardware, or datacenters, as well as fluctuation in load",High Availability,AZ900
The ability of a system to handle increased load.,Scalability,AZ900
"The ability to quickly expand or decrease computer processing, memory, and storage resources to meet changing demands without worrying about capacity planning and engineering for peak usage",Elasticity,AZ900
Protect against the loss of an entire region through asynchronous replication for failover of virtual machines and data,Disaster Recovery,AZ900
These expenditures are generally nonrecurring and result in the acquisition of permanent assets,Capital Expenditure (CapEx),AZ900
These expenditures are ongoing costs of doing business.,Operational Expenditure (OpEx),AZ900
You are charged for only what you use.,Consumption-Based Model,AZ900
"BLANK is a type of cloud computing service that offers essential compute, storage, and networking resources on demand, on a pay-as-you-go basis.",Infrastructure-as-a-Service (IaaS),AZ900
"BLANK is a complete development and deployment environment in the cloud, with resources that enable you to deliver everything from simple cloud-based apps to sophisticated, cloud-enabled enterprise applications.",Platform-as-a-Service (PaaS),AZ900
"BLANK allows users to connect to and use cloud-based apps over the Internet. Common examples are email, calendaring, and office tools (such as Microsoft Office 365).",Software-as-a-Service (SaaS),AZ900
"BLANK is the delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet (“the cloud”) to offer faster innovation, flexible resources, and economies of scale.",cloud computing,AZ900
"BLANK is defined as computing services offered by third-party providers over the public Internet, making them available to anyone who wants to use or purchase them.",Public cloud,AZ900
BLANK is a computing services offered either over the Internet or a private internal network and only to select users instead of the general public,Private cloud,AZ900
"BLANK is a computing environment that combines an on-premises datacentre (also called a Private cloud with a Public cloud, allowing data and applications to be shared between them.",Hybrid cloud,AZ900
BLANK is a set of datacentres deployed within a latency-defined perimeter and connected through a dedicated regional low-latency network which are paired within the same geographical area (except Brazil South) to provide outage failover to secondary if primary has an outage,Regions and Region Pairs,"Definition,AZ900"
"Azure BLANK are physically separate locations within each Azure region that are tolerant to local failures. Each is composed of one or more datacenters equipped with independent power, cooling, and networking infrastructure. They are designed so that if one zone is affected, regional services, capacity, and high availability are supported by the remaining two zones.",Availability Zones,"Definition,AZ900"
"A BLANK is a container that holds related resources for an Azure solution. It can include all the resources for the solution, or only those resources that you want to manage as a group. You decide how you want to allocate resources to 'this' based on what makes the most sense for your organization. Generally, add resources that share the same lifecycle to the same 'one' so you can easily deploy, update, and delete them as a group.",Resource Groups,"Definition,AZ900"
"The BLANK stores metadata about the resources. Therefore, when you specify its location, you are specifying where that metadata is stored. For compliance reasons, you may need to ensure that your data is stored in a particular region.",Resource Groups,"Fact,AZ900"
"BLANK is the deployment and management service for Azure. It provides a management layer that enables you to create, update, and delete resources in your Azure account. You use management features, like access control, locks, and tags, to secure and organize your resources after deployment.",Azure Resource Manager,"Definition,AZ900"
"BLANK is an HTTP-based service for hosting web applications, REST APIs, and mobile back ends. It is a fully managed platform as a service (PaaS) offering for professional developers.",Azure App Services,"AZ900,Definition"
BLANK sends encrypted traffic between an Azure virtual network and an on-premises location over the public Internet,VPN Gateway,"AZ900,Definition"
"BLANK a private (non-public internet) route into Azure, that allows for high availability and periodic migration between on-premises and Azure? Low latency and high bandwidth is guaranteed. It has a triangle with three green dots as its logo.",ExpressRoute,"AZ900,Definition"
"BLANK enables developers to build applications faster by eliminating the need for them to manage infrastructure. With Serverless applications, the cloud service provider automatically Provisions, scales, and manages the infrastructure required to run the code.",Serverless,AZ900
A popular shell language that can run Azure CLI commands,Bash,"DP900,AZ900,Definition"
"An interactive, browser-accessible shell for managing Azure resources. A web-based command line terminal resource, accessible from the Azure portal. This is 100% browser based.",Cloud Shell,"DP900,AZ900,Definition"
"A network in Azure that mimics the form of on-premises, hardware-based networks",VNet,"DP900,AZ900,Definition"
BLANK refers to evenly distributing load (incoming network traffic) across a group of backend resources or servers.,Load Balancer,"AZ900,Definition"
BLANK a web traffic load balancer that enables you to manage traffic to your web applications.,Application Gateway,"AZ900,Definition"
BLANK is formerly known as Azure Security Center and Azure Defender.,Microsoft Defender for Cloud,"AZ900,Fact"
"BLANK is your base layer for monitoring the security configuration and health of your workloads. It collects events from Azure or log analytics agents and correlates them in a security analytics engine, to provide you with tailored recommendations (hardening tasks). Strengthening your security posture can be achieved by implementing these recommendations.",Microsoft Defender for Cloud,"AZ900,Definition"
BLANK defines the group of resources that will serve traffic for a given load-balancing rule.,Backend Pool,"AZ900,Definition"
"BLANK (formerly Azure Advanced Threat Protection, also known as Azure ATP) is a cloud-based security solution that leverages your on-premises Active Directory signals to identify, detect, and investigate advanced threats, compromised identities, and malicious insider actions directed at your organization.",Microsoft Defender for Identity,"AZ900,Definition"
"BLANK monitors users activity and information, creates a baselines/routine and then suggest changes to reduce risk based on this information. It can also update you on unusual user behaviour.",Microsoft Defender for Identity,"AZ900,UseCase"
"BLANK is a distributed network of servers that can deliver web content close to users via geographically-local edge nodes, thereby minimising latency",Content Delivery Network (CDN),"AZ900,Definition"
BLANK enables you to configure more than one web application on the same port of application gateways,Multi-site Hosting,"AZ900,Definition"
BLANK is the way attackers get in to your systems. It can be disrupted by Microsoft Defender for Identity,Cyber-Attack Kill Chain,"AZ900,Definition"
"What is a collection of temporary copies of original files? Its primary purpose is to optimise speed for an application. When a copy expires, a new copy is needed. Copies are taken from the origin server, i.e. the original location and master copy of the files of your application.",Cache,"AZ900,Definition"
"BLANK provides insight into your compliance posture for a set of supported standards and regulations, based on continuous assessments of your Azure environment.",Regulatory compliance dashboard,"AZ900,Definition"
"BLANK provides single view of the status of all assessments within your environment, in the context of a particular standard or regulation. As you act on the recommendations and reduce risk factors in your environment, you can see your compliance posture improve.",Regulatory compliance dashboard,"AZ900,Definition"
BLANK is a cloud-native security information and event manager (SIEM) platform that uses built-in AI to help analyse large volumes of data across an enterprise – fast.,Microsoft Azure Sentinel,"Definition,AZ900"
BLANK provides physical servers that host one or more Azure Virtual Machines. Your server is dedicated to your organisation and workloads – capacity isn’t shared with other customers. This host-level isolation helps address compliance requirements.,Azure Dedicated Hosts,"Definition,AZ900"
"BLANK is a cloud service for securely storing and accessing secrets. A secret is anything that you want to tightly control access to, such as API keys, passwords, certificates, or cryptographic keys.",Azure Key Vault,"AZ900,Definition"
"BLANK filters network traffic to and from Azure resources in an Azure virtual network. Contains security rules that allow or deny inbound network traffic to, or outbound network traffic from, several types of Azure resources. For each rule, you can specify source and destination, port, and protocol.",NSG - Network Security Group,"AZ900,Definition"
"BLANK is a cloud-based solution that enables organizations to discover, classify, and protect documents and emails by applying labels to content. It is part of the Microsoft Information Protection (MIP) solution, and extends the labeling and classification functionality provided by Microsoft 365.",Azure Information Protection (AIP),"AZ900,Definition"
BLANK a strategy that uses a series of mechanisms to slow the advance of an attack that aims at acquiring unauthorized access to data. The objective is to protect information and prevent it from being stolen by those who aren't authorized to access it.,Defense in Depth,"AZ900,Definition"
"BLANK your organization's ability to protect from and respond to security threats. The common principles used to define this are confidentiality, integrity, and availability, known collectively as CIA.",Security Posture,"AZ900,Definition"
"BLANK restricting access to information only to individuals explicitly granted access, at only the level that they need to perform their work. This information includes protection of user passwords, email content, and access levels to applications and underlying infrastructure.",Principle of Least Privilege,"AZ900,Definition"
"BLANK a managed, cloud-based network security service that helps protect resources in your Azure virtual networks. Provides a central location to create, enforce, and log application and network connectivity policies across subscriptions and virtual networks.",Azure Firewall,"AZ900,Definition"
"BLANK provides centralized, inbound protection for your web applications against common exploits and vulnerabilities. Can be provided by Azure Application Gateway, Azure Front Door and Azure Content Delivery Network.",Web Application Firewall,"AZ900,Definition"
BLANK gives enterprise developers and system integrators a mobile-application development platform that's highly scalable and globally available.,Azure Mobile Apps,"AZ900,Definition"
BLANK is a personalized cloud consultant that helps you follow best practices to optimize your Azure deployments.,Azure Advisor,"Definition,AZ900"
BLANK is a lightweight command that is used in the PowerShell environment to perform an action.,PowerShell cmdlet,"AZ900,Definition"
"BLANK is an interactive, authenticated, browser-accessible shell for managing Azure resources. It provides the flexibility of choosing the shell experience that best suits the way you work, either Bash or PowerShell.",Azure Cloud Shell,"AZ900,Definition"
BLANK the time it takes data to travel,Latency,"AZ900,Definition"
"BLANK let you create and manage a group of load balanced VMs. The number of VM instances can automatically increase or decrease in response to demand or a defined schedule. BLANK provide high availability to your applications, and allow you to centrally manage, configure, and update a large number of VMs.",Scale Sets,"AZ900,Definition"
